Version:,6.8.8.0,avbsf,avcodec,avfilter,avformat
Fragment,Size (KiB),,,,
empty,178,,,,
avbsf,49,,,,
avcodec,156,,,,
avfilter,116,,,,
avformat,295,,,,
audio-filters,297,,,1,
bsf-av1_metadata,133,1,,,
bsf-extract_extradata,15,1,,,
bsf-h264_metadata,194,1,,,
bsf-h264_mp4toannexb,6,1,,,
bsf-hevc_metadata,269,1,,,
bsf-hevc_mp4toannexb,4,1,,,
bsf-null,1,1,,,
bsf-vp9_metadata,50,1,,,
cli,448,,1,1,1
codec-aac,445,,1,,
codec-alac,34,,1,,
codec-flac,73,,1,,
codec-gif,32,,1,,
codec-libaom_av1,3644,,1,,
codec-libopenh264,628,,1,,
codec-libopus,297,,1,,
codec-libvorbis,462,,1,,
codec-libvpx_vp8,349,,1,,
codec-libvpx_vp9,813,,1,,
codec-mjpeg,333,,1,,
codec-pcm_f32le,18,,1,,
codec-png,0,,1,,
codec-prores,53,,1,,
codec-qtrle,28,,1,,
codec-rawvideo,23,,1,,
decoder-aac,358,,1,,
decoder-ac3,215,,1,,
decoder-alac,17,,1,,
decoder-cinepak,14,,1,,
decoder-cook,195,,1,,
decoder-dvaudio,9,,1,,
decoder-dvvideo,44,,1,,
decoder-flac,30,,1,,
decoder-flashsv,0,,1,,
decoder-flashsv2,0,,1,,
decoder-flv,174,,1,,
decoder-gif,16,,1,,
decoder-h261,124,,1,,
decoder-h263,173,,1,,
decoder-h263p,173,,1,,
decoder-h264,772,,1,,
decoder-hevc,596,,1,,
decoder-indeo2,16,,1,,
decoder-indeo3,39,,1,,
decoder-indeo4,51,,1,,
decoder-indeo5,47,,1,,
decoder-libaom_av1,1211,,1,,
decoder-libopenh264,298,,1,,
decoder-libopus,127,,1,,
decoder-libvorbis,124,,1,,
decoder-libvpx_vp8,81,,1,,
decoder-libvpx_vp9,230,,1,,
decoder-mjpeg,89,,1,,
decoder-mp1,50,,1,,
decoder-mp2,50,,1,,
decoder-mp3,50,,1,,
decoder-mpeg1video,179,,1,,
decoder-mpeg2video,179,,1,,
decoder-mpeg4,259,,1,,
decoder-msmpeg4v1,212,,1,,
decoder-msmpeg4v2,212,,1,,
decoder-msmpeg4v3,212,,1,,
decoder-msvideo1,12,,1,,
decoder-pcm_f16le,13,,1,,
decoder-pcm_f24le,13,,1,,
decoder-pcm_f32be,11,,1,,
decoder-pcm_f32le,11,,1,,
decoder-pcm_f64be,11,,1,,
decoder-pcm_f64le,11,,1,,
decoder-pcm_s16be,11,,1,,
decoder-pcm_s16le,11,,1,,
decoder-pcm_s24be,11,,1,,
decoder-pcm_s24le,11,,1,,
decoder-pcm_s32be,11,,1,,
decoder-pcm_s32le,11,,1,,
decoder-pcm_s64be,11,,1,,
decoder-pcm_s64le,11,,1,,
decoder-pcm_s8,11,,1,,
decoder-pcm_u16be,11,,1,,
decoder-pcm_u16le,11,,1,,
decoder-pcm_u24be,11,,1,,
decoder-pcm_u24le,11,,1,,
decoder-pcm_u32be,11,,1,,
decoder-pcm_u32le,11,,1,,
decoder-pcm_u8,11,,1,,
decoder-png,0,,1,,
decoder-prores,27,,1,,
decoder-qtrle,18,,1,,
decoder-ra_144,26,,1,,
decoder-ra_288,16,,1,,
decoder-ralf,116,,1,,
decoder-rawvideo,15,,1,,
decoder-rv10,184,,1,,
decoder-rv20,183,,1,,
decoder-rv30,352,,1,,
decoder-rv40,367,,1,,
decoder-sipr,34,,1,,
decoder-theora,65,,1,,
decoder-wavpack,36,,1,,
decoder-webp,173,,1,,
decoder-wmalossless,26,,1,,
decoder-wmapro,208,,1,,
decoder-wmav1,221,,1,,
decoder-wmav2,221,,1,,
decoder-wmavoice,237,,1,,
decoder-wmv1,212,,1,,
decoder-wmv2,242,,1,,
decoder-wmv3,394,,1,,
demuxer-aac,9,,,,1
demuxer-asf,50,,,,1
demuxer-au,5,,,,1
demuxer-avi,52,,,,1
demuxer-caf,19,,,,1
demuxer-dv,9,,,,1
demuxer-flac,28,,,,1
demuxer-flv,29,,,,1
demuxer-hls,355,,,,1
demuxer-image2,28,,,,1
demuxer-image_gif_pipe,26,,,,1
demuxer-image_jpeg_pipe,26,,,,1
demuxer-image_png_pipe,26,,,,1
demuxer-matroska,70,,,,1
demuxer-mp3,19,,,,1
demuxer-mp4,251,,,,1
demuxer-mpeg,0,,,,1
demuxer-mpegts,49,,,,1
demuxer-ogg,50,,,,1
demuxer-pcm_f32le,3,,,,1
demuxer-rawvideo,3,,,,1
demuxer-rm,25,,,,1
demuxer-wav,33,,,,1
demuxer-webm,70,,,,1
demuxer-wv,11,,,,1
encoder-aac,265,,1,,
encoder-alac,20,,1,,
encoder-flac,50,,1,,
encoder-gif,19,,1,,
encoder-libaom_av1,0,,1,,
encoder-libmp3lame,192,,1,,
encoder-libopenh264,0,,1,,
encoder-libopus,0,,1,,
encoder-libvorbis,0,,1,,
encoder-libvpx_vp8,294,,1,,
encoder-libvpx_vp9,661,,1,,
encoder-mjpeg,270,,1,,
encoder-pcm_f32le,10,,1,,
encoder-png,0,,1,,
encoder-prores,29,,1,,
encoder-qtrle,13,,1,,
encoder-rawvideo,13,,1,,
format-aac,28,,,,1
format-flac,38,,,,1
format-hls,716,,,,1
format-image2,34,,,,1
format-mp3,40,,,,1
format-mp4,508,,,,1
format-ogg,65,,,,1
format-pcm_f32le,4,,,,1
format-rawvideo,3,,,,1
format-wav,55,,,,1
format-webm,186,,,,1
muxer-aac,19,,,,1
muxer-flac,10,,,,1
muxer-hls,397,,,,1
muxer-image2,8,,,,1
muxer-mp3,26,,,,1
muxer-mp4,280,,,,1
muxer-ogg,16,,,,1
muxer-pcm_f32le,1,,,,1
muxer-rawvideo,1,,,,1
muxer-wav,26,,,,1
muxer-webm,126,,,,1
parser-aac,0,,1,,
parser-ac3,0,,1,,
parser-av1,0,,1,,
parser-cook,0,,1,,
parser-dvaudio,0,,1,,
parser-flac,0,,1,,
parser-gif,0,,1,,
parser-h261,0,,1,,
parser-h263,0,,1,,
parser-h264,0,,1,,
parser-hevc,0,,1,,
parser-mjpeg,0,,1,,
parser-mpeg4video,0,,1,,
parser-mpegaudio,0,,1,,
parser-mpegvideo,0,,1,,
parser-opus,0,,1,,
parser-png,0,,1,,
parser-rv34,0,,1,,
parser-sipr,0,,1,,
parser-vorbis,0,,1,,
parser-vp8,0,,1,,
parser-vp9,0,,1,,
parser-webp,0,,1,,
protocol-jsfetch,1,,,,1
swresample,74,,,1,
swscale,530,,,1,
video-filters,22,,,1,
